ts,F3 10k,F4 5k
17258792.0,673.8307,-795.5963
17258891.0,733.3402,-797.69439
17258990.0,764.08678,-796.09221
17259159.0,787.89058,-800.09766
17259258.0,795.97777,-799.44916
17259347.0,798.80065,-800.51727
17259436.0,800.32654,-796.32109
17259525.0,799.94507,-799.71619
17259614.0,801.01319,-796.8933
17259703.0,801.47095,-800.97504
17259792.0,802.08131,-795.71074
17259892.0,802.08131,-796.09221
17259990.0,801.69984,-796.51183
17260089.0,802.38648,-796.70256
17260188.0,802.46278,-795.90147
17260287.0,801.54725,-800.51727
17260386.0,800.7843,-801.16578
17260485.0,801.16578,-801.01319
17260584.0,800.70801,-800.89875
17260683.0,801.62354,-800.7843
17260782.0,800.17395,-801.12763
17260881.0,801.16578,-801.54725
17260980.0,801.01319,-802.04316
17261079.0,800.93689,-801.43281
17261178.0,801.39466,-801.43281
17261278.0,801.54725,-801.69984
17261377.0,801.01319,-796.58812
17261476.0,800.8606,-796.39739
17261575.0,802.76795,-796.28294
17261674.0,803.22572,-795.63444
17261773.0,801.69984,-796.35924
17261872.0,850.75703,-994.03761
17261971.0,925.52538,-992.85504
17262070.0,958.25561,-994.15205
17262179.0,978.32099,-1002.73515
17262288.0,988.8496,-997.16567
17262387.0,995.4872,-1005.29101
17262486.0,996.7079,-1005.86321
17262585.0,998.76785,-1005.97765
17262684.0,999.53079,-1005.29101
17262783.0,1001.20926,-1005.32915
17262889.0,1000.82779,-998.34823
17262988.0,1000.14114,-998.31008
17263091.0,1001.66703,-998.7297
17263190.0,1001.20926,-998.92044
17263289.0,1001.28556,-999.03488
17263388.0,1002.12479,-999.49264
17263487.0,1000.59891,-1005.40545
17263586.0,1002.35368,-1005.55804
17263685.0,1000.98038,-1005.74877
17263784.0,1001.05668,-1005.44359
17263883.0,1001.66703,-1005.63433
17263982.0,1002.0485,-1005.93951
17264081.0,1001.05668,-1006.09209
17264180.0,1001.36185,-1005.90136
17264279.0,1001.89591,-1005.90136
17264379.0,1000.59891,-1005.97765
17264478.0,1001.13297,-1005.51989
17264577.0,1001.74332,-999.49264
17264676.0,1001.36185,-999.56894
17264775.0,1002.50627,-999.56894
17264875.0,1001.59073,-999.49264
17264974.0,1002.0485,-999.34005
17265073.0,1002.50627,-999.87411
17265182.0,934.29922,-800.2121
17265291.0,848.31561,-796.85515
17265390.0,822.0704,-799.75433
17265489.0,813.98321,-801.31836
17265588.0,806.65896,-799.10583
17265687.0,804.67531,-804.25569
17265786.0,802.38648,-805.97231
17265885.0,801.62354,-806.1249
17265984.0,799.63989,-806.62081
17266083.0,799.86877,-805.28566
17266182.0,800.02136,-805.4764
17266281.0,799.79248,-804.98049
17266380.0,800.32654,-805.4764
17266479.0,799.5636,-805.78158
17266578.0,800.40283,-805.89602
17266677.0,800.17395,-798.95324
17266776.0,800.25025,-799.41101
17266875.0,800.93689,-799.33471
17266974.0,801.16578,-798.8388
17267083.0,799.33471,-805.81972
17267192.0,800.32654,-799.06768
17267291.0,799.10583,-799.14398
17267391.0,800.55542,-799.4873
17267489.0,800.47913,-799.4873
17267587.0,800.8606,-805.20937
17267686.0,800.47913,-805.24752
17267785.0,798.49548,-805.28566
17267884.0,800.02136,-806.1249
17267983.0,798.41918,-804.98049
17268082.0,799.25842,-804.52272
17268181.0,800.32654,-805.43825
17268280.0,741.12221,-599.55826
17268379.0,652.5446,-605.5855
