ts,F1
32499923.80213737,3674.6737
32500924.9022007,3674.2923
32501926.003217697,3675.9707
32502927.103042603,3675.5893
32503928.203105927,3674.1397
32504929.30316925,3674.216
32505930.40299416,3674.5212
32506931.50305748,3674.216
32507932.603120804,3674.0634
32508933.703184128,3674.75
32509934.803009037,3673.8345
32510935.90307236,3674.1397
32511937.004089355,3674.4449
32512938.10415268,3673.9871
32513939.204216003,3674.5212
32514940.30404091,3674.2923
32515941.404104237,3672.9953
32516942.50416756,3673.9108
32517943.603992462,3674.5212
32518944.704055782,3674.3686
32519945.80411911,3674.216
32520946.904182438,3673.8345
32521948.005199432,3673.453
32522949.105024338,3676.9626
32523950.20508766,3675.0552
32524951.305150986,3674.3686
32525952.40521431,3674.9026
32526953.50503921,3674.75
32527954.60510254,3674.6737
32528955.705165863,3674.5212
32529956.80499077,3674.5975
32530957.90505409,3674.3686
32531959.00607109,3674.216
32532960.10613441,3674.6737
32533961.20619774,3674.0634
32534962.306022644,3673.1479
32535963.406085968,3672.919
32536964.50614929,3674.1397
32537965.606212616,3674.75
32538966.70603752,3674.3686
32539967.806100845,3674.2923
32540968.90616417,3673.9108
32541970.007181168,3676.1996
32542971.107006077,3674.1397
32543972.2070694,3673.9871
32544973.30713272,3674.9026
32545974.407196045,3673.9871
32546975.50702095,3673.7582
32547976.607084274,3673.0716
32548977.7071476,3673.0716
32549978.80721092,3674.5975
32550979.907035828,3674.5212
32551981.008052822,3674.75
32552982.10811615,3674.5212
32553983.208179478,3673.8345
32554984.30800438,3675.8182
32555985.408067703,3673.9108
32556986.508131027,3674.1397
32557987.60819435,3674.0634
32558988.708019257,3674.1397
32559989.80808258,3674.216
32560990.908145905,3674.0634
32561992.009162903,3674.1397
32562993.10898781,3673.6819
32563994.20905113,3674.1397
32564995.309114456,3673.6056
32565996.40917778,3673.5293
32566997.50900269,3675.5893
32567998.60906601,3673.7582
32568999.709129333,3675.2078
32570000.809192657,3674.1397
